"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C2";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C3";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C4";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C5";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C6";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C7";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C8";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C9";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C10";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C11";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C12";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C13";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"D1";"PESD5Z6.0";"DIODESOD-523";"SOD-523";"Diode";"";"";"";"";
"D2";"L1";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"F1";"0805L110SLYR";"0805L110SLYR";"0805L110SLYR";"";"";"";"";"";
"P1";"DF11-4_STRAIGHT_PIN";"DF11-4_STRAIGHT_PIN";"DF11SP-4-H";"CONNECTOR 4 POS SM";"";"";"";"";
"P2";"DF11-4_STRAIGHT_PIN";"DF11-4_STRAIGHT_PIN";"DF11SP-4-H";"CONNECTOR 4 POS SM";"";"";"";"";
"P3";"DF11-6_STRAIGHT_PIN";"DF11-6_STRAIGHT_PIN";"DF11SP-6-H";"CONNEECTOR 6 POS SM";"";"";"";"";
"R1";"220";"R-USR0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"U1";"MCP1700T-3302E/TT";"MCP1700-3302E/TT";"SOT23A";"";"";"";"";"";
"U2";"EFM32TG110F32-1";"EFM32TG110F32-1";"QFN24_5X5";"";"";"";"";"";
"U3";"MAX3232CUE";"MAX3232CUE";"TSSOP16";"True RS-232 Transceivers 3.0V to 5.5V, Low-Power";"MAXIM";"MAX3232CUE+";"1593350";"68K4629";
"U4";"INMP441";"INMP441";"INMP441";"";"";"";"";"";
